#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AH36,,,VCCO_15,,,15,,,,,any******,,,,,
AH37,,IOBM,IO_L23P_VRN_15,UNUSED,,15,,,,,,,,,,
AH38,,IOBS,IO_L23N_VRP_15,UNUSED,,15,,,,,,,,,,
AH39,,IOBS,IO_L21N_15,UNUSED,,15,,,,,,,,,,
AJ1,,IOBS,IO_L4N_VREF_12,UNUSED,,12,,,,,,,,,,
AJ2,,IOBM,IO_L4P_12,UNUSED,,12,,,,,,,,,,
AJ3,,,VCCO_12,,,12,,,,,any******,,,,,
AJ4,,LOWCAPIOB,IO_L8P_CC_LC_12,UNUSED,,12,,,,,,,,,,
AJ5,,LOWCAPIOB,IO_L9N_CC_LC_12,UNUSED,,12,,,,,,,,,,
AJ6,,LOWCAPIOB,IO_L9P_CC_LC_12,UNUSED,,12,,,,,,,,,,
AJ7,,IOBS,IO_L20N_VREF_12,UNUSED,,12,,,,,,,,,,
AJ8,,,GND,,,,,,,,,,,,,
AJ9,,IOBS,IO_L2N_8,UNUSED,,8,,,,,,,,,,
AJ10,,IOBM,IO_L2P_8,UNUSED,,8,,,,,,,,,,
AJ11,,,VCCAUX,,,,,,,,2.5,,,,,
AJ12,,IOBS,IO_L14N_8,UNUSED,,8,,,,,,,,,,
AJ13,,,VCCO_8,,,8,,,,,any******,,,,,
AJ14,,,GND,,,,,,,,,,,,,
AJ15,,,VCCINT,,,,,,,,1.2,,,,,
AJ16,,LOWCAPIOB,IO_L40N_CC_LC_2,UNUSED,,2,,,,,,,,,,
AJ17,,,VCCINT,,,,,,,,1.2,,,,,
AJ18,,,GND,,,,,,,,,,,,,
AJ19,SEG_COM<0>,IOB,IO_L8N_GC_CC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ20,SEG_DAT<6>,IOB,IO_L3N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ21,SEG_DAT<7>,IOB,IO_L3P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ22,,LOWCAPIOB,IO_L31N_LC_2,UNUSED,,2,,,,,,,,,,
AJ23,,,VCCO_2,,,2,,,,,any******,,,,,
AJ24,,LOWCAPIOB,IO_L7P_D3_LC_2,UNUSED,,2,,,,,,,,,,
AJ25,,,VCCINT,,,,,,,,1.2,,,,,
AJ26,,,GND,,,,,,,,,,,,,
AJ27,,,VCCINT,,,,,,,,1.2,,,,,
AJ28,,,GND,,,,,,,,,,,,,
AJ29,,LOWCAPIOB,IO_L8N_CC_LC_7,UNUSED,,7,,,,,,,,,,
AJ30,,IOBM,IO_L2P_7,UNUSED,,7,,,,,,,,,,
AJ31,,,VCCAUX,,,,,,,,2.5,,,,,
AJ32,,IOBS,IO_L16N_11,UNUSED,,11,,,,,,,,,,
AJ33,,,VCCO_11,,,11,,,,,any******,,,,,
AJ34,,LOWCAPIOB,IO_L8P_CC_LC_11,UNUSED,,11,,,,,,,,,,
AJ35,,IOBM,IO_L27P_15,UNUSED,,15,,,,,,,,,,
AJ36,,LOWCAPIOB,IO_L25P_CC_LC_15,UNUSED,,15,,,,,,,,,,
AJ37,,LOWCAPIOB,IO_L25N_CC_LC_15,UNUSED,,15,,,,,,,,,,
AJ38,,,GND,,,,,,,,,,,,,
AJ39,,IOBM,IO_L21P_15,UNUSED,,15,,,,,,,,,,
AK1,,IOBS,IO_L5N_12,UNUSED,,12,,,,,,,,,,
AK2,,IOBS,IO_L10N_12,UNUSED,,12,,,,,,,,,,
AK3,,IOBM,IO_L10P_12,UNUSED,,12,,,,,,,,,,
AK4,,IOBS,IO_L16N_12,UNUSED,,12,,,,,,,,,,
AK5,,,GND,,,,,,,,,,,,,
AK6,,IOBS,IO_L17N_12,UNUSED,,12,,,,,,,,,,
AK7,,IOBM,IO_L20P_12,UNUSED,,12,,,,,,,,,,
AK8,,IOBS,IO_L23N_VRP_12,UNUSED,,12,,,,,,,,,,
AK9,,IOBS,IO_L4N_VREF_8,UNUSED,,8,,,,,,,,,,
AK10,,,VCCO_8,,,8,,,,,any******,,,,,
AK11,,LOWCAPIOB,IO_L9N_CC_LC_8,UNUSED,,8,,,,,,,,,,
AK12,,,VCCINT,,,,,,,,1.2,,,,,
AK13,,,GND,,,,,,,,,,,,,
AK14,,,VCCINT,,,,,,,,1.2,,,,,
AK15,,,GND,,,,,,,,,,,,,
AK16,,LOWCAPIOB,IO_L40P_CC_LC_2,UNUSED,,2,,,,,,,,,,
AK17,,LOWCAPIOB,IO_L32P_LC_2,UNUSED,,2,,,,,,,,,,
AK18,,,VCCAUX,,,,,,,,2.5,,,,,
AK19,SEG_COM<1>,IOB,IO_L8P_GC_CC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK20,,,VCCO_4,,,4,,,,,2.50,,,,,
AK21,SEG_COM<2>,IOB,IO_L7N_GC_VRP_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK22,,,VCCINT,,,,,,,,1.2,,,,,
AK23,,LOWCAPIOB,IO_L27P_LC_2,UNUSED,,2,,,,,,,,,,
AK24,,LOWCAPIOB,IO_L7N_D2_LC_2,UNUSED,,2,,,,,,,,,,
AK25,,,GND,,,,,,,,,,,,,
AK26,,,VCCINT,,,,,,,,1.2,,,,,
AK27,,,GND,,,,,,,,,,,,,
AK28,,,VCCAUX,,,,,,,,2.5,,,,,
AK29,,LOWCAPIOB,IO_L8P_CC_LC_7,UNUSED,,7,,,,,,,,,,
AK30,,,VCCO_7,,,7,,,,,any******,,,,,
AK31,,IOBS,IO_L2N_7,UNUSED,,7,,,,,,,,,,
AK32,,,VCCINT,,,,,,,,1.2,,,,,
AK33,,IOBM,IO_L16P_11,UNUSED,,11,,,,,,,,,,
AK34,,IOBS,IO_L11N_11,UNUSED,,11,,,,,,,,,,
AK35,,,GND,,,,,,,,,,,,,
AK36,,IOBM,IO_L32P_15,UNUSED,,15,,,,,,,,,,
AK37,,IOBS,IO_L32N_15,UNUSED,,15,,,,,,,,,,
AK38,,IOBM,IO_L28P_15,UNUSED,,15,,,,,,,,,,
AK39,,IOBS,IO_L28N_VREF_15,UNUSED,,15,,,,,,,,,,
AL1,,IOBM,IO_L5P_12,UNUSED,,12,,,,,,,,,,
AL2,,,GND,,,,,,,,,,,,,
AL3,,IOBS,IO_L13N_12,UNUSED,,12,,,,,,,,,,
AL4,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,,
AL5,,IOBS,IO_L22N_12,UNUSED,,12,,,,,,,,,,
AL6,,IOBM,IO_L17P_12,UNUSED,,12,,,,,,,,,,
AL7,,,VCCO_12,,,12,,,,,any******,,,,,
AL8,,IOBM,IO_L23P_VRN_12,UNUSED,,12,,,,,,,,,,
AL9,,IOBM,IO_L4P_8,UNUSED,,8,,,,,,,,,,
AL10,,IOBS,IO_L12N_VREF_8,UNUSED,,8,,,,,,,,,,
AL11,,LOWCAPIOB,IO_L9P_CC_LC_8,UNUSED,,8,,,,,,,,,,
AL12,,,GND,,,,,,,,,,,,,
AL13,,IOBS,IO_L17N_8,UNUSED,,8,,,,,,,,,,
AL14,,IOBM,IO_L17P_8,UNUSED,,8,,,,,,,,,,
AL15,,,VCCAUX,,,,,,,,2.5,,,,,
AL16,,LOWCAPIOB,IO_L32N_LC_2,UNUSED,,2,,,,,,,,,,
AL17,,,VCCO_2,,,2,,,,,any******,,,,,
AL18,,LOWCAPIOB,IO_L10N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AL19,SEG_DAT<2>,IOB,IO_L5N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL20,SEG_DAT<3>,IOB,IO_L5P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL21,SEG_COM<3>,IOB,IO_L7P_GC_VRN_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL22,,,GND,,,,,,,,,,,,,
AL23,,LOWCAPIOB,IO_L27N_LC_2,UNUSED,,2,,,,,,,,,,
AL24,,LOWCAPIOB,IO_L5P_D7_LC_2,UNUSED,,2,,,,,,,,,,
AL25,,,VCCAUX,,,,,,,,2.5,,,,,
AL26,,IOBM,IO_L17P_7,UNUSED,,7,,,,,,,,,,
AL27,,,VCCO_7,,,7,,,,,any******,,,,,
AL28,,LOWCAPIOB,IO_L24P_CC_LC_7,UNUSED,,7,,,,,,,,,,
AL29,,,VCCINT,,,,,,,,1.2,,,,,
AL30,,IOBS,IO_L3N_7,UNUSED,,7,,,,,,,,,,
AL31,,IOBS,IO_L4N_VREF_7,UNUSED,,7,,,,,,,,,,
AL32,,,GND,,,,,,,,,,,,,
AL33,,IOBS,IO_L26N_11,UNUSED,,11,,,,,,,,,,
AL34,,IOBM,IO_L11P_11,UNUSED,,11,,,,,,,,,,
AL35,,IOBS,IO_L18N_11,UNUSED,,11,,,,,,,,,,
AL36,,IOBS,IO_L31N_15,UNUSED,,15,,,,,,,,,,
AL37,,,VCCO_15,,,15,,,,,any******,,,,,
AL38,,IOBM,IO_L30P_15,UNUSED,,15,,,,,,,,,,
AL39,,IOBS,IO_L30N_15,UNUSED,,15,,,,,,,,,,
AM1,,IOBS,IO_L14N_12,UNUSED,,12,,,,,,,,,,
AM2,,IOBM,IO_L14P_12,UNUSED,,12,,,,,,,,,,
AM3,,IOBM,IO_L13P_12,UNUSED,,12,,,,,,,,,,
AM4,,,VCCO_12,,,12,,,,,any******,,,,,
AM5,,IOBM,IO_L22P_12,UNUSED,,12,,,,,,,,,,
AM6,,IOBS,IO_L28N_VREF_12,UNUSED,,12,,,,,,,,,,
AM7,,IOBM,IO_L28P_12,UNUSED,,12,,,,,,,,,,
AM8,,,VCCINT,,,,,,,,1.2,,,,,
AM9,,,GND,,,,,,,,,,,,,
AM10,,IOBM,IO_L12P_8,UNUSED,,8,,,,,,,,,,
AM11,,IOBM,IO_L13P_8,UNUSED,,8,,,,,,,,,,
AM12,,,VCCAUX,,,,,,,,2.5,,,,,
AM13,,IOBS,IO_L27N_8,UNUSED,,8,,,,,,,,,,
AM14,,,VCCO_8,,,8,,,,,any******,,,,,
AM15,,IOBM,IO_L5P_8,UNUSED,,8,,,,,,,,,,
AM16,,,VCCINT,,,,,,,,1.2,,,,,
AM17,,LOWCAPIOB,IO_L30N_LC_2,UNUSED,,2,,,,,,,,,,
AM18,,LOWCAPIOB,IO_L10P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AM19,,,GND,,,,,,,,,,,,,
AM20,,LOWCAPIOB,IO_L15N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AM21,,LOWCAPIOB,IO_L15P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AM22,,,VCCAUX,,,,,,,,2.5,,,,,
AM23,,LOWCAPIOB,IO_L25P_CC_LC_2,UNUSED,,2,,,,,,,,,,
AM24,,,VCCO_2,,,2,,,,,any******,,,,,
AM25,,LOWCAPIOB,IO_L5N_D6_LC_2,UNUSED,,2,,,,,,,,,,
AM26,,,VCCINT,,,,,,,,1.2,,,,,
AM27,,IOBS,IO_L17N_7,UNUSED,,7,,,,,,,,,,
AM28,,LOWCAPIOB,IO_L24N_CC_LC_7,UNUSED,,7,,,,,,,,,,
AM29,,,GND,,,,,,,,,,,,,
AM30,,IOBM,IO_L3P_7,UNUSED,,7,,,,,,,,,,
AM31,,IOBM,IO_L4P_7,UNUSED,,7,,,,,,,,,,
AM32,,,VCCAUX,,,,,,,,2.5,,,,,
AM33,,IOBM,IO_L26P_11,UNUSED,,11,,,,,,,,,,
AM34,,,VCCO_11,,,11,,,,,any******,,,,,
AM35,,IOBM,IO_L18P_11,UNUSED,,11,,,,,,,,,,
AM36,,IOBM,IO_L31P_15,UNUSED,,15,,,,,,,,,,
AM37,,IOBM,IO_L29P_15,UNUSED,,15,,,,,,,,,,
AM38,,IOBS,IO_L29N_15,UNUSED,,15,,,,,,,,,,
AM39,,,GND,,,,,,,,,,,,,
AN1,,,VCCO_12,,,12,,,,,any******,,,,,
AN2,,IOBS,IO_L18N_12,UNUSED,,12,,,,,,,,,,
AN3,,IOBM,IO_L18P_12,UNUSED,,12,,,,,,,,,,
AN4,,IOBS,IO_L21N_12,UNUSED,,12,,,,,,,,,,
AN5,,IOBM,IO_L21P_12,UNUSED,,12,,,,,,,,,,
AN6,,,GND,,,,,,,,,,,,,
AN7,,IOBS,IO_L6N_8,UNUSED,,8,,,,,,,,,,
AN8,,IOBS,IO_L3N_8,UNUSED,,8,,,,,,,,,,
AN9,,IOBM,IO_L3P_8,UNUSED,,8,,,,,,,,,,
AN10,,IOBS,IO_L13N_8,UNUSED,,8,,,,,,,,,,
AN11,,,VCCO_8,,,8,,,,,any******,,,,,
AN12,,IOBM,IO_L15P_8,UNUSED,,8,,,,,,,,,,
AN13,,,VCCINT,,,,,,,,1.2,,,,,
AN14,,IOBM,IO_L27P_8,UNUSED,,8,,,,,,,,,,
AN15,,IOBS,IO_L5N_8,UNUSED,,8,,,,,,,,,,
AN16,,,GND,,,,,,,,,,,,,
AN17,,LOWCAPIOB,IO_L30P_LC_2,UNUSED,,2,,,,,,,,,,
AN18,,LOWCAPIOB,IO_L24P_CC_LC_2,UNUSED,,2,,,,,,,,,,
AN19,,,VCCAUX,,,,,,,,2.5,,,,,
AN20,,LOWCAPIOB,IO_L13N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AN21,,,VCCO_2,,,2,,,,,any******,,,,,
AN22,,LOWCAPIOB,IO_L25N_CC_LC_2,UNUSED,,2,,,,,,,,,,
AN23,,,VCCINT,,,,,,,,1.2,,,,,
AN24,,LOWCAPIOB,IO_L1N_D14_CC_LC_2,UNUSED,,2,,,,,,,,,,
AN25,,LOWCAPIOB,IO_L1P_D15_CC_LC_2,UNUSED,,2,,,,,,,,,,
AN26,,,GND,,,,,,,,,,,,,
AN27,,IOBM,IO_L23P_VRN_7,UNUSED,,7,,,,,,,,,,
AN28,,IOBS,IO_L23N_VRP_7,UNUSED,,7,,,,,,,,,,
AN29,,IOBS,IO_L22N_7,UNUSED,,7,,,,,,,,,,
AN30,,IOBM,IO_L7P_7,UNUSED,,7,,,,,,,,,,
AN31,,,VCCO_7,,,7,,,,,any******,,,,,
AN32,,IOBS,IO_L6N_7,UNUSED,,7,,,,,,,,,,
AN33,,IOBM,IO_L23P_VRN_11,UNUSED,,11,,,,,,,,,,
AN34,,IOBS,IO_L23N_VRP_11,UNUSED,,11,,,,,,,,,,
AN35,,IOBS,IO_L19N_11,UNUSED,,11,,,,,,,,,,
AN36,,,GND,,,,,,,,,,,,,
AN37,,IOBM,IO_L14P_11,UNUSED,,11,,,,,,,,,,
AN38,,IOBS,IO_L14N_11,UNUSED,,11,,,,,,,,,,
AN39,,IOBS,IO_L12N_VREF_11,UNUSED,,11,,,,,,,,,,
AP1,,IOBS,IO_L15N_12,UNUSED,,12,,,,,,,,,,
AP2,,IOBM,IO_L15P_12,UNUSED,,12,,,,,,,,,,
AP3,,,GND,,,,,,,,,,,,,
AP4,,IOBS,IO_L30N_12,UNUSED,,12,,,,,,,,,,
AP5,,IOBM,IO_L30P_12,UNUSED,,12,,,,,,,,,,
AP6,,IOBS,IO_L29N_12,UNUSED,,12,,,,,,,,,,
AP7,,IOBM,IO_L6P_8,UNUSED,,8,,,,,,,,,,
AP8,,,VCCO_8,,,8,,,,,any******,,,,,
AP9,,IOBS,IO_L20N_VREF_8,UNUSED,,8,,,,,,,,,,
AP10,,,VCCINT,,,,,,,,1.2,,,,,
AP11,,IOBS,IO_L15N_8,UNUSED,,8,,,,,,,,,,
AP12,,IOBS,IO_L19N_8,UNUSED,,8,,,,,,,,,,
AP13,,,GND,,,,,,,,,,,,,
AP14,,LOWCAPIOB,IO_L6N_D4_LC_2,UNUSED,,2,,,,,,,,,,
AP15,,LOWCAPIOB,IO_L6P_D5_LC_2,UNUSED,,2,,,,,,,,,,
AP16,,LOWCAPIOB,IO_L38N_LC_2,UNUSED,,2,,,,,,,,,,
AP17,,LOWCAPIOB,IO_L24N_CC_LC_2,UNUSED,,2,,,,,,,,,,
AP18,,,VCCO_2,,,2,,,,,any******,,,,,
AP19,,LOWCAPIOB,IO_L14P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AP20,,,VCCINT,,,,,,,,1.2,,,,,
AP21,,LOWCAPIOB,IO_L13P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AP22,,LOWCAPIOB,IO_L9P_GC_CC_LC_2,UNUSED,,2,,,,,,,,,,
AP23,,,GND,,,,,,,,,,,,,
AP24,,IOBM,IO_L5P_7,UNUSED,,7,,,,,,,,,,
AP25,,IOBM,IO_L13P_7,UNUSED,,7,,,,,,,,,,
AP26,,IOBS,IO_L13N_7,UNUSED,,7,,,,,,,,,,
AP27,,LOWCAPIOB,IO_L25P_CC_SM7_LC_7,UNUSED,,7,,,,,,,,,,
AP28,,,VCCO_7,,,7,,,,,any******,,,,,
AP29,,IOBM,IO_L22P_7,UNUSED,,7,,,,,,,,,,
AP30,,,VCCINT,,,,,,,,1.2,,,,,
AP31,,IOBS,IO_L7N_7,UNUSED,,7,,,,,,,,,,
AP32,,IOBM,IO_L6P_7,UNUSED,,7,,,,,,,,,,
AP33,,,GND,,,,,,,,,,,,,
AP34,,IOBS,IO_L32N_11,UNUSED,,11,,,,,,,,,,
AP35,,IOBM,IO_L19P_11,UNUSED,,11,,,,,,,,,,
AP36,,IOBM,IO_L22P_11,UNUSED,,11,,,,,,,,,,
AP37,,IOBS,IO_L22N_11,UNUSED,,11,,,,,,,,,,
AP38,,,VCCO_11,,,11,,,,,any******,,,,,
AP39,,IOBM,IO_L12P_11,UNUSED,,11,,,,,,,,,,
AR1,,LOWCAPIOB,IO_L24N_CC_LC_12,UNUSED,,12,,,,,,,,,,
AR2,,IOBS,IO_L26N_12,UNUSED,,12,,,,,,,,,,
AR3,,IOBM,IO_L26P_12,UNUSED,,12,,,,,,,,,,
AR4,,IOBS,IO_L27N_12,UNUSED,,12,,,,,,,,,,
AR5,,,VCCO_12,,,12,,,,,any******,,,,,
AR6,,IOBM,IO_L29P_12,UNUSED,,12,,,,,,,,,,
AR7,,IOBS,IO_L7N_8,UNUSED,,8,,,,,,,,,,
AR8,,IOBM,IO_L7P_8,UNUSED,,8,,,,,,,,,,
AR9,,IOBM,IO_L20P_8,UNUSED,,8,,,,,,,,,,
AR10,,,GND,,,,,,,,,,,,,
AR11,,IOBS,IO_L28N_VREF_8,UNUSED,,8,,,,,,,,,,
AR12,,IOBM,IO_L19P_8,UNUSED,,8,,,,,,,,,,
AR13,,IOBS,IO_L29N_8,UNUSED,,8,,,,,,,,,,
AR14,,LOWCAPIOB,IO_L2N_D12_LC_2,UNUSED,,2,,,,,,,,,,
AR15,,,VCCO_2,,,2,,,,,any******,,,,,
AR16,,LOWCAPIOB,IO_L38P_LC_2,UNUSED,,2,,,,,,,,,,
AR17,,,VCCINT,,,,,,,,1.2,,,,,
AR18,,LOWCAPIOB,IO_L14N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AR19,,LOWCAPIOB,IO_L12N_GC_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AR20,,,GND,,,,,,,,,,,,,
AR21,,LOWCAPIOB,IO_L11N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AR22,,LOWCAPIOB,IO_L9N_GC_CC_LC_2,UNUSED,,2,,,,,,,,,,
AR23,,LOWCAPIOB,IO_L39P_LC_2,UNUSED,,2,,,,,,,,,,
AR24,,IOBS,IO_L5N_7,UNUSED,,7,,,,,,,,,,
AR25,,,VCCO_7,,,7,,,,,any******,,,,,
AR26,,IOBM,IO_L27P_SM5_7,UNUSED,,7,,,,,,,,,,
AR27,,LOWCAPIOB,IO_L25N_CC_SM7_LC_7,UNUSED,,7,,,,,,,,,,
AR28,,IOBS,IO_L32N_SM1_7,UNUSED,,7,,,,,,,,,,
AR29,,IOBS,IO_L30N_SM3_7,UNUSED,,7,,,,,,,,,,
AR30,,,GND,,,,,,,,,,,,,
AR31,,IOBM,IO_L16P_7,UNUSED,,7,,,,,,,,,,
AR32,,IOBS,IO_L16N_7,UNUSED,,7,,,,,,,,,,
AR33,,IOBS,IO_L1N_7,UNUSED,,7,,,,,,,,,,
AR34,,IOBM,IO_L32P_11,UNUSED,,11,,,,,,,,,,
AR35,,,VCCO_11,,,11,,,,,any******,,,,,
AR36,,IOBS,IO_L28N_VREF_11,UNUSED,,11,,,,,,,,,,
AR37,,IOBM,IO_L17P_11,UNUSED,,11,,,,,,,,,,
AR38,,IOBS,IO_L17N_11,UNUSED,,11,,,,,,,,,,
AR39,,IOBS,IO_L20N_VREF_11,UNUSED,,11,,,,,,,,,,
AT1,,LOWCAPIOB,IO_L24P_CC_LC_12,UNUSED,,12,,,,,,,,,,
AT2,,,VCCO_12,,,12,,,,,any******,,,,,
AT3,,IOBS,IO_L32N_12,UNUSED,,12,,,,,,,,,,
AT4,,IOBM,IO_L27P_12,UNUSED,,12,,,,,,,,,,
AT5,,IOBS,IO_L31N_12,UNUSED,,12,,,,,,,,,,
AT6,,IOBM,IO_L31P_12,UNUSED,,12,,,,,,,,,,
AT7,,,GND,,,,,,,,,,,,,
AT8,,IOBS,IO_L18N_8,UNUSED,,8,,,,,,,,,,
AT9,,IOBS,IO_L22N_8,UNUSED,,8,,,,,,,,,,
AT10,,IOBM,IO_L22P_8,UNUSED,,8,,,,,,,,,,
AT11,,IOBM,IO_L28P_8,UNUSED,,8,,,,,,,,,,
AT12,,,VCCO_8,,,8,,,,,any******,,,,,
AT13,,IOBM,IO_L29P_8,UNUSED,,8,,,,,,,,,,
AT14,,LOWCAPIOB,IO_L2P_D13_LC_2,UNUSED,,2,,,,,,,,,,
AT15,,LOWCAPIOB,IO_L36N_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AT16,,LOWCAPIOB,IO_L36P_LC_2,UNUSED,,2,,,,,,,,,,
AT17,,,GND,,,,,,,,,,,,,
AT18,,LOWCAPIOB,IO_L22N_LC_2,UNUSED,,2,,,,,,,,,,
AT19,,LOWCAPIOB,IO_L12P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AT20,,LOWCAPIOB,IO_L16N_GC_LC_2,UNUSED,,2,,,,,,,,,,
AT21,,LOWCAPIOB,IO_L11P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AT22,,,VCCO_2,,,2,,,,,any******,,,,,
AT23,,LOWCAPIOB,IO_L39N_LC_2,UNUSED,,2,,,,,,,,,,
AT24,,LOWCAPIOB,IO_L9P_CC_LC_7,UNUSED,,7,,,,,,,,,,
AT25,,LOWCAPIOB,IO_L9N_CC_LC_7,UNUSED,,7,,,,,,,,,,
AT26,,IOBS,IO_L27N_SM5_7,UNUSED,,7,,,,,,,,,,
AT27,,,GND,,,,,,,,,,,,,
AT28,,IOBM,IO_L32P_SM1_7,UNUSED,,7,,,,,,,,,,
AT29,,IOBM,IO_L30P_SM3_7,UNUSED,,7,,,,,,,,,,
AT30,,IOBS,IO_L14N_7,UNUSED,,7,,,,,,,,,,
AT31,,IOBM,IO_L14P_7,UNUSED,,7,,,,,,,,,,
AT32,,,VCCO_7,,,7,,,,,any******,,,,,
AT33,,IOBM,IO_L1P_7,UNUSED,,7,,,,,,,,,,
AT34,,IOBM,IO_L27P_11,UNUSED,,11,,,,,,,,,,
AT35,,IOBS,IO_L27N_11,UNUSED,,11,,,,,,,,,,
AT36,,IOBM,IO_L28P_11,UNUSED,,11,,,,,,,,,,
AT37,,,GND,,,,,,,,,,,,,
AT38,,LOWCAPIOB,IO_L24N_CC_LC_11,UNUSED,,11,,,,,,,,,,
AT39,,IOBM,IO_L20P_11,UNUSED,,11,,,,,,,,,,
AU1,,LOWCAPIOB,IO_L25N_CC_LC_12,UNUSED,,12,,,,,,,,,,
AU2,,LOWCAPIOB,IO_L25P_CC_LC_12,UNUSED,,12,,,,,,,,,,
AU3,,IOBM,IO_L32P_12,UNUSED,,12,,,,,,,,,,
AU4,,,GND,,,,,,,,,,,,,
AU5,,IOBS,IO_L1N_8,UNUSED,,8,,,,,,,,,,
AU6,,IOBS,IO_L16N_8,UNUSED,,8,,,,,,,,,,
AU7,,IOBM,IO_L16P_8,UNUSED,,8,,,,,,,,,,
AU8,,IOBM,IO_L18P_8,UNUSED,,8,,,,,,,,,,
AU9,,,VCCO_8,,,8,,,,,any******,,,,,
AU10,,IOBS,IO_L30N_8,UNUSED,,8,,,,,,,,,,
AU11,,IOBS,IO_L23N_VRP_8,UNUSED,,8,,,,,,,,,,
AU12,,IOBM,IO_L23P_VRN_8,UNUSED,,8,,,,,,,,,,
AU13,,IOBS,IO_L21N_8,UNUSED,,8,,,,,,,,,,
AU14,,,GND,,,,,,,,,,,,,
AU15,,LOWCAPIOB,IO_L4N_D8_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AU16,,LOWCAPIOB,IO_L28N_VREF_LC_2,UNUSED,,2,,,,,,,,,,
AU17,,LOWCAPIOB,IO_L28P_LC_2,UNUSED,,2,,,,,,,,,,
AU18,,LOWCAPIOB,IO_L22P_LC_2,UNUSED,,2,,,,,,,,,,
AU19,,,VCCO_2,,,2,,,,,any******,,,,,
AU20,,LOWCAPIOB,IO_L16P_GC_LC_2,UNUSED,,2,,,,,,,,,,
AU21,,LOWCAPIOB,IO_L23N_VRP_LC_2,UNUSED,,2,,,,,,,,,,
AU22,,LOWCAPIOB,IO_L23P_VRN_LC_2,UNUSED,,2,,,,,,,,,,
AU23,,LOWCAPIOB,IO_L37P_LC_2,UNUSED,,2,,,,,,,,,,
AU24,,,GND,,,,,,,,,,,,,
AU25,,IOBM,IO_L15P_7,UNUSED,,7,,,,,,,,,,
AU26,,IOBM,IO_L31P_SM2_7,UNUSED,,7,,,,,,,,,,
AU27,,IOBS,IO_L31N_SM2_7,UNUSED,,7,,,,,,,,,,
AU28,,IOBS,IO_L19N_7,UNUSED,,7,,,,,,,,,,
AU29,,,VCCO_7,,,7,,,,,any******,,,,,
AU30,,IOBS,IO_L26N_SM6_7,UNUSED,,7,,,,,,,,,,
AU31,,IOBM,IO_L18P_7,UNUSED,,7,,,,,,,,,,
AU32,,IOBS,IO_L18N_7,UNUSED,,7,,,,,,,,,,
AU33,,IOBS,IO_L12N_VREF_7,UNUSED,,7,,,,,,,,,,
AU34,,,GND,,,,,,,,,,,,,
AU35,,LOWCAPIOB,IO_L25P_CC_LC_11,UNUSED,,11,,,,,,,,,,
AU36,,LOWCAPIOB,IO_L25N_CC_LC_11,UNUSED,,11,,,,,,,,,,
AU37,,IOBS,IO_L30N_11,UNUSED,,11,,,,,,,,,,
AU38,,LOWCAPIOB,IO_L24P_CC_LC_11,UNUSED,,11,,,,,,,,,,
