#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AB6,,IOBM,IO_L11P_16,UNUSED,,16,,,,,,,,,,
AB7,,IOBM,IO_L14P_16,UNUSED,,16,,,,,,,,,,
AB8,,IOBS,IO_L17N_16,UNUSED,,16,,,,,,,,,,
AB9,,,GND,,,,,,,,,,,,,
AB10,,IOBS,IO_L15N_16,UNUSED,,16,,,,,,,,,,
AB11,,IOBM,IO_L15P_16,UNUSED,,16,,,,,,,,,,
AB12,,,VCCINT,,,,,,,,1.2,,,,,
AB13,,IOBM,IO_L20P_16,UNUSED,,16,,,,,,,,,,
AB14,,,VCCO_16,,,16,,,,,any******,,,,,
AB15,,IOBM,IO_L21P_16,UNUSED,,16,,,,,,,,,,
AB16,,,TDO_0,,,,,,,,,,,,,
AB17,,,TDI_0,,,,,,,,,,,,,
AB18,,,VCCINT,,,,,,,,1.2,,,,,
AB19,,,GND,,,,,,,,,,,,,
AB20,,,VCCINT,,,,,,,,1.2,,,,,
AB21,,,GND,,,,,,,,,,,,,
AB22,,,VCCINT,,,,,,,,1.2,,,,,
AB23,,,GND,,,,,,,,,,,,,
AB24,,,VCCINT,,,,,,,,1.2,,,,,
AB25,,,GND,,,,,,,,,,,,,
AB26,,,VCCINT,,,,,,,,1.2,,,,,
AB27,,IOBM,IO_L17P_15,UNUSED,,15,,,,,,,,,,
AB28,,IOBS,IO_L17N_15,UNUSED,,15,,,,,,,,,,
AB29,,,GND,,,,,,,,,,,,,
AB30,,IOBS,IO_L15N_15,UNUSED,,15,,,,,,,,,,
AB31,,IOBS,IO_L11N_15,UNUSED,,15,,,,,,,,,,
AB32,,,VCCINT,,,,,,,,1.2,,,,,
AB33,,LOWCAPIOB,IO_L8P_CC_LC_15,UNUSED,,15,,,,,,,,,,
AB34,,,VCCO_15,,,15,,,,,any******,,,,,
AB35,,IOBS,IO_L7N_15,UNUSED,,15,,,,,,,,,,
AB36,,IOBM,IO_L31P_13,UNUSED,,13,,,,,,,,,,
AB37,,IOBS,IO_L31N_13,UNUSED,,13,,,,,,,,,,
AB38,,IOBM,IO_L32P_13,UNUSED,,13,,,,,,,,,,
AB39,,,GND,,,,,,,,,,,,,
AC1,,,VCCO_16,,,16,,,,,any******,,,,,
AC2,,IOBS,IO_L13N_16,UNUSED,,16,,,,,,,,,,
AC3,,IOBM,IO_L13P_16,UNUSED,,16,,,,,,,,,,
AC4,,IOBS,IO_L16N_16,UNUSED,,16,,,,,,,,,,
AC5,,IOBM,IO_L16P_16,UNUSED,,16,,,,,,,,,,
AC6,,,GND,,,,,,,,,,,,,
AC7,,IOBS,IO_L23N_VRP_16,UNUSED,,16,,,,,,,,,,
AC8,,IOBM,IO_L17P_16,UNUSED,,16,,,,,,,,,,
AC9,,,VCCAUX,,,,,,,,2.5,,,,,
AC10,,IOBM,IO_L22P_16,UNUSED,,16,,,,,,,,,,
AC11,,,VCCO_16,,,16,,,,,any******,,,,,
AC12,,LOWCAPIOB,IO_L25P_CC_LC_16,UNUSED,,16,,,,,,,,,,
AC13,,IOBS,IO_L20N_VREF_16,UNUSED,,16,,,,,,,,,,
AC14,,IOBS,IO_L21N_16,UNUSED,,16,,,,,,,,,,
AC15,,,VCCINT,,,,,,,,1.2,,,,,
AC16,,,GND,,,,,,,,,,,,,
AC17,,,VCCINT,,,,,,,,1.2,,,,,
AC18,,,GND,,,,,,,,,,,,,
AC19,,,VCCINT,,,,,,,,1.2,,,,,
AC20,,LOWCAPIOB,IO_L35N_LC_2,UNUSED,,2,,,,,,,,,,
AC21,,,VCCO_2,,,2,,,,,any******,,,,,
AC22,,LOWCAPIOB,IO_L35P_LC_2,UNUSED,,2,,,,,,,,,,
AC23,,,VCCINT,,,,,,,,1.2,,,,,
AC24,,,GND,,,,,,,,,,,,,
AC25,,,VCCINT,,,,,,,,1.2,,,,,
AC26,,,GND,,,,,,,,,,,,,
AC27,,IOBS,IO_L3N_11,UNUSED,,11,,,,,,,,,,
AC28,,IOBM,IO_L2P_11,UNUSED,,11,,,,,,,,,,
AC29,,,VCCAUX,,,,,,,,2.5,,,,,
AC30,,IOBM,IO_L15P_15,UNUSED,,15,,,,,,,,,,
AC31,,,VCCO_15,,,15,,,,,any******,,,,,
AC32,,IOBM,IO_L11P_15,UNUSED,,15,,,,,,,,,,
AC33,,LOWCAPIOB,IO_L9P_CC_LC_15,UNUSED,,15,,,,,,,,,,
