Release 9.1i - par J.30
Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

Tue Aug 07 15:35:45 2007


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       PCI_FPGA_map.ncd
OUTPUT FILE:      PCI_FPGA_pad.txt
PART TYPE:        xc4vlx60
SPEED GRADE:      -10
PACKAGE:          ff668

Pinout by Pin Number:

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AA15      |SevenSegCtrl[5]|IOB      |IO_L3N_D10_LC_2     |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AA16      |SevenSegCtrl[4]|IOB      |IO_L3P_D11_LC_2     |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AA17      |PCI_AD[21]     |IOB      |IO_L27N_SM5_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AA18      |PCI_AD[8]      |IOB      |IO_L21P_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AA19      |PCI_AD[18]     |IOB      |IO_L26P_SM6_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AA20      |PCI_AD[19]     |IOB      |IO_L26N_SM6_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AA21      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA22      |               |         |VCCO_7              |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|AA23      |               |IOBS     |IO_L14N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AA24      |               |LOWCAPIOB|IO_L8P_CC_LC_7      |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AA25      |               |         |VCCO_7              |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|AA26      |               |IOBS     |IO_L10N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AB1       |adout[13]      |IOB      |IO_L10P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB2       |adout[8]       |IOB      |IO_L12N_VREF_8      |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB3       |adout[9]       |IOB      |IO_L12P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB4       |adout[10]      |IOB      |IO_L11N_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB5       |adout[6]       |IOB      |IO_L13N_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AB6       |adin[16]       |IOB      |IO_L24N_CC_LC_8     |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AB7       |adin[8]        |IOB      |IO_L28N_VREF_8      |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AB8       |               |         |VCCO_8              |         |           |8             |          |         |           |         |2.50     |          |         |           |                |
|AB9       |adin[6]        |IOB      |IO_L29N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AB10      |               |LOWCAPIOB|IO_L2N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AB11      |               |         |VCCO_2              |         |           |2             |          |         |           |         |2.50     |          |         |           |                |
|AB12      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB13      |SevenSegCtrl[6]|IOB      |IO_L4P_D9_LC_2      |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AB14      |SevenSegCtrl[1]|IOB      |IO_L1N_D14_CC_LC_2  |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AB15      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AB16      |               |         |VCCO_2              |         |           |2             |          |         |           |         |2.50     |          |         |           |                |
|AB17      |               |LOWCAPIOB|IO_L3P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AB18      |PCI_AD[25]     |IOB      |IO_L29N_SM4_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AB19      |               |         |VCCO_7              |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|AB20      |PCI_AD[22]     |IOB      |IO_L28P_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AB21      |PCI_AD[15]     |IOB      |IO_L24N_CC_LC_7     |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AB22      |               |IOBS     |IO_L13N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AB23      |               |IOBM     |IO_L14P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AB24      |               |IOBM     |IO_L7P_7            |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AB25      |               |IOBS     |IO_L7N_7            |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AB26      |               |IOBM     |IO_L10P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AC1       |adout[4]       |IOB      |IO_L14N_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC2       |adout[5]       |IOB      |IO_L14P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC3       |adin[28]       |IOB      |IO_L18N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AC4       |adout[11]      |IOB      |IO_L11P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC5       |adout[7]       |IOB      |IO_L13P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AC6       |adin[17]       |IOB      |IO_L24P_CC_LC_8     |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AC7       |adin[9]        |IOB      |IO_L28P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AC8       |adin[0]        |IOB      |IO_L32N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AC9       |adin[7]        |IOB      |IO_L29P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AC10      |               |LOWCAPIOB|IO_L2P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AC11      |SevenSegCtrl[3]|IOB      |IO_L2N_D12_LC_2     |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AC12      |SevenSegCtrl[2]|IOB      |IO_L2P_D13_LC_2     |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AC13      |               |LOWCAPIOB|IO_L8P_D1_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AC14      |SevenSegComm[0]|IOB      |IO_L5P_D7_LC_2      |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AC15      |               |LOWCAPIOB|IO_L7N_D2_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AC16      |               |LOWCAPIOB|IO_L7P_D3_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AC17      |               |LOWCAPIOB|IO_L3N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AC18      |PCI_AD[24]     |IOB      |IO_L29P_SM4_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AC19      |PCI_AD[17]     |IOB      |IO_L25N_CC_SM7_LC_7 |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AC20      |PCI_AD[23]     |IOB      |IO_L28N_VREF_7      |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AC21      |PCI_AD[14]     |IOB      |IO_L24P_CC_LC_7     |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AC22      |               |IOBM     |IO_L13P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AC23      |               |IOBM     |IO_L16P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AC24      |               |IOBS     |IO_L16N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AC25      |               |LOWCAPIOB|IO_L9P_CC_LC_7      |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AC26      |               |LOWCAPIOB|IO_L9N_CC_LC_7      |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AD1       |adout[0]       |IOB      |IO_L16N_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD2       |adout[1]       |IOB      |IO_L16P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD3       |adin[29]       |IOB      |IO_L18P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD4       |adin[20]       |IOB      |IO_L22N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD5       |adin[21]       |IOB      |IO_L22P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD6       |adin[4]        |IOB      |IO_L30N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD7       |adin[18]       |IOB      |IO_L23N_VRP_8       |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD8       |adin[1]        |IOB      |IO_L32P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD9       |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD10      |sw[3]          |IOB      |IO_L6N_GC_LC_4      |INPUT    |LVCMOS25   |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD11      |led[3]         |IOB      |IO_L8N_GC_CC_LC_4   |OUTPUT   |LVCMOS25   |4             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AD12      |led[2]         |IOB      |IO_L8P_GC_CC_LC_4   |OUTPUT   |LVCMOS25   |4             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AD13      |               |LOWCAPIOB|IO_L8N_D0_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AD14      |SevenSegComm[1]|IOB      |IO_L5N_D6_LC_2      |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AD15      |               |         |VCCO_4              |         |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AD16      |led[1]         |IOB      |IO_L7N_GC_VRP_LC_4  |OUTPUT   |LVCMOS25   |4             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AD17      |led[0]         |IOB      |IO_L7P_GC_VRN_LC_4  |OUTPUT   |LVCMOS25   |4             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AD18      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD19      |PCI_AD[16]     |IOB      |IO_L25P_CC_SM7_LC_7 |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AD20      |PCI_AD[13]     |IOB      |IO_L23N_VRP_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AD21      |PCI_AD[31]     |IOB      |IO_L32N_SM1_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AD22      |               |IOBM     |IO_L15P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AD23      |               |IOBS     |IO_L15N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AD24      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD25      |               |IOBM     |IO_L11P_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AD26      |               |IOBS     |IO_L11N_7           |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|AE1       |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AE2       |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AE3       |adout[2]       |IOB      |IO_L15N_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE4       |adin[30]       |IOB      |IO_L17N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE5       |               |         |VCCO_8              |         |           |8             |          |         |           |         |2.50     |          |         |           |                |
|AE6       |adin[5]        |IOB      |IO_L30P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE7       |adin[19]       |IOB      |IO_L23P_VRN_8       |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE8       |               |         |VCCO_8              |         |           |8             |          |         |           |         |2.50     |          |         |           |                |
|AE9       |adin[2]        |IOB      |IO_L31N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE10      |sw[2]          |IOB      |IO_L6P_GC_LC_4      |INPUT    |LVCMOS25   |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE11      |               |         |VCCO_4              |         |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AE12      |nRst           |IOB      |IO_L1N_GC_LC_4      |INPUT    |LVCMOS25   |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE13      |sw[1]          |IOB      |IO_L5N_GC_LC_4      |INPUT    |LVCMOS25   |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE14      |sw[0]          |IOB      |IO_L5P_GC_LC_4      |INPUT    |LVCMOS25   |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE15      |               |         |VREFN_SM            |         |           |              |          |         |           |         |         |          |         |           |                |
|AE16      |               |         |VREFP_SM            |         |           |              |          |         |           |         |         |          |         |           |                |
|AE17      |               |         |AVSS_SM             |         |           |              |          |         |           |         |         |          |         |           |                |
|AE18      |PCI_AD[29]     |IOB      |IO_L31N_SM2_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AE19      |               |         |VCCO_7              |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|AE20      |PCI_AD[12]     |IOB      |IO_L23P_VRN_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AE21      |PCI_AD[30]     |IOB      |IO_L32P_SM1_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AE22      |               |         |VCCO_7              |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|AE23      |PCI_AD[5]      |IOB      |IO_L19N_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AE24      |PCI_AD[11]     |IOB      |IO_L22N_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AE25      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AE26      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AF2       |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AF3       |adout[3]       |IOB      |IO_L15P_8           |INPUT    |LVCMOS25   |8             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AF4       |adin[31]       |IOB      |IO_L17P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF5       |adin[26]       |IOB      |IO_L19N_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF6       |adin[27]       |IOB      |IO_L19P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF7       |adin[14]       |IOB      |IO_L25N_CC_LC_8     |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF8       |adin[15]       |IOB      |IO_L25P_CC_LC_8     |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF9       |adin[3]        |IOB      |IO_L31P_8           |OUTPUT   |LVCMOS25   |8             |12        |FAST     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF10      |               |LOWCAPIOB|IO_L4N_GC_VREF_LC_4 |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AF11      |               |LOWCAPIOB|IO_L4P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AF12      |               |LOWCAPIOB|IO_L1P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|AF13      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AF14      |               |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AF15      |               |IPAD     |VN_SM               |UNUSED   |           |              |          |         |           |         |         |          |         |           |                |
|AF16      |               |IPAD     |VP_SM               |UNUSED   |           |              |          |         |           |         |         |          |         |           |                |
|AF17      |               |         |AVDD_SM             |         |           |              |          |         |           |         |         |          |         |           |                |
|AF18      |PCI_AD[28]     |IOB      |IO_L31P_SM2_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AF19      |PCI_AD[0]      |IOB      |IO_L17P_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AF20      |PCI_AD[1]      |IOB      |IO_L17N_7           |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|AF21      |PCI_AD[26]     |IOB      |IO_L30P_SM3_7       |BIDIR    |LVCMOS25   |7             |12        |FAST     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
