Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AA10      |UART_TXD1            |IOB      |IO_L30P_14          |OUTPUT   |LVCMOS25   |14            |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AA11      |                     |IOBM     |IO_L31P_14          |UNUSED   |           |14            |          |         |           |         |         |          |         |           |                |
|AA12      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA13      |                     |LOWCAPIOB|IO_L9N_CC_LC_16     |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AA14      |                     |LOWCAPIOB|IO_L9P_CC_LC_16     |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AA15      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AA16      |                     |         |TMS_0               |         |           |              |          |         |           |         |         |          |         |           |                |
|AA17      |                     |         |VCCO_0              |         |           |0             |          |         |           |         |any******|          |         |           |                |
|AA18      |                     |         |TCK_0               |         |           |              |          |         |           |         |         |          |         |           |                |
|AA19      |                     |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|AA20      |                     |         |DOUT_BUSY_0         |         |           |              |          |         |           |         |         |          |         |           |                |
|AA21      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AA22      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA23      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AA24      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA25      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AA26      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA27      |                     |         |VCCO_15             |         |           |15            |          |         |           |         |2.50     |          |         |           |                |
|AA28      |WDATA_DDR[8]         |IOB      |IO_L1N_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA29      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AA30      |WDATA_DDR[14]        |IOB      |IO_L4N_VREF_15      |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA31      |HADDR_S0[2]          |IOB      |IO_L6P_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA32      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AA33      |HADDR_S0[7]          |IOB      |IO_L8N_CC_LC_15     |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA34      |WDATA_DDR[11]        |IOB      |IO_L3P_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA35      |WDATA_DDR[12]        |IOB      |IO_L3N_15           |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA36      |AWREADY_DDR          |IOB      |IO_L29P_13          |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AA37      |                     |         |VCCO_13             |         |           |13            |          |         |           |         |2.50     |          |         |           |                |
|AA38      |WDATA_DDR[6]         |IOB      |IO_L32N_13          |INPUT    |LVCMOS25   |13            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
