MASTER: trans=[  104]  addr=[00000144] WRITE data=[00000096]   expected=[00000096]         WORD  OKAY
MASTER: trans=[  105]  addr=[00000148] WRITE data=[00000098]   expected=[00000098]         WORD  OKAY
MASTER: trans=[  106]  addr=[0000014c] WRITE data=[0000009a]   expected=[0000009a]         WORD  OKAY
MASTER: trans=[  107]  addr=[00000150] WRITE data=[0000009c]   expected=[0000009c]         WORD  OKAY
MASTER: trans=[  108]  addr=[00000154] WRITE data=[0000009e]   expected=[0000009e]         WORD  OKAY
MASTER: trans=[  109]  addr=[00000158] WRITE data=[000000a0]   expected=[000000a0]         WORD  OKAY
MASTER: trans=[  110]  addr=[0000015c] WRITE data=[000000a2]   expected=[000000a2]         WORD  OKAY
MASTER: trans=[  111]  addr=[00000160] WRITE data=[000000a4]   expected=[000000a4]         WORD  OKAY
MASTER: trans=[  112]  addr=[00000164] WRITE data=[000000a6]   expected=[000000a6]         WORD  OKAY
MASTER: trans=[  113]  addr=[00000168] WRITE data=[000000a8]   expected=[000000a8]         WORD  OKAY
MASTER: trans=[  114]  addr=[0000016c] WRITE data=[000000aa]   expected=[000000aa]         WORD  OKAY
MASTER: trans=[  115]  addr=[00000170] WRITE data=[000000ab]   expected=[000000ab]         WORD  OKAY
MASTER: trans=[  116]  addr=[00000174] WRITE data=[000000ac]   expected=[000000ac]         WORD  OKAY
MASTER: trans=[  117]  addr=[00000178] WRITE data=[000000ad]   expected=[000000ad]         WORD  OKAY
MASTER: trans=[  118]  addr=[0000017c] WRITE data=[000000ae]   expected=[000000ae]         WORD  OKAY
MASTER: trans=[  119]  addr=[00000180] WRITE data=[000000af]   expected=[000000af]         WORD  OKAY
MASTER: trans=[  121]  addr=[00000174] WRITE data=[0000008e]   expected=[0000008e]         WORD  OKAY
MASTER: trans=[  122]  addr=[00000178] WRITE data=[00000090]   expected=[00000090]         WORD  OKAY
MASTER: trans=[  123]  addr=[0000017c] WRITE data=[00000092]   expected=[00000092]         WORD  OKAY
MASTER: trans=[  124]  addr=[00000180] WRITE data=[00000094]   expected=[00000094]         WORD  OKAY
MASTER: trans=[  125]  addr=[00000184] WRITE data=[00000096]   expected=[00000096]         WORD  OKAY
MASTER: trans=[  126]  addr=[00000188] WRITE data=[00000098]   expected=[00000098]         WORD  OKAY
MASTER: trans=[  127]  addr=[0000018c] WRITE data=[0000009a]   expected=[0000009a]         WORD  OKAY
MASTER: trans=[  128]  addr=[00000190] WRITE data=[0000009c]   expected=[0000009c]         WORD  OKAY
MASTER: trans=[  129]  addr=[00000194] WRITE data=[0000009e]   expected=[0000009e]         WORD  OKAY
MASTER: trans=[  130]  addr=[00000198] WRITE data=[000000a0]   expected=[000000a0]         WORD  OKAY
MASTER: trans=[  131]  addr=[0000019c] WRITE data=[000000a2]   expected=[000000a2]         WORD  OKAY
MASTER: trans=[  132]  addr=[000001a0] WRITE data=[000000a4]   expected=[000000a4]         WORD  OKAY
MASTER: trans=[  133]  addr=[000001a4] WRITE data=[000000a6]   expected=[000000a6]         WORD  OKAY
MASTER: trans=[  134]  addr=[000001a8] WRITE data=[000000a8]   expected=[000000a8]         WORD  OKAY
MASTER: trans=[  135]  addr=[000001ac] WRITE data=[000000aa]   expected=[000000aa]         WORD  OKAY
MASTER: trans=[  136]  addr=[000001b0] WRITE data=[000000ab]   expected=[000000ab]         WORD  OKAY
MASTER: trans=[  137]  addr=[000001b4] WRITE data=[000000ac]   expected=[000000ac]         WORD  OKAY
MASTER: trans=[  138]  addr=[000001b8] WRITE data=[000000ad]   expected=[000000ad]         WORD  OKAY
MASTER: trans=[  139]  addr=[000001bc] WRITE data=[000000ae]   expected=[000000ae]         WORD  OKAY
MASTER: trans=[  140]  addr=[000001c0] WRITE data=[000000af]   expected=[000000af]         WORD  OKAY
MASTER: trans=[  141]  addr=[00000004] WRITE data=[0000003c]   expected=[0000003c]         WORD  OKAY
