#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Mon Dec 18 09:50:04 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       U60_map.ncd
#OUTPUT FILE:      U60_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AA34,FPGA_CON<196>,IOB,IO_L3P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AA35,FPGA_CON<197>,IOB,IO_L3N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AA36,FPGA_CON<184>,IOB,IO_L29P_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AA37,,,VCCO_13,,,13,,,,,2.50,,,,,
AA38,FPGA_CON<191>,IOB,IO_L32N_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AA39,FPGA_CON<183>,IOB,IO_L28N_VREF_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AB1,,IOBS,IO_L12N_VREF_16,UNUSED,,16,,,,,,,,,,
AB2,,IOBM,IO_L12P_16,UNUSED,,16,,,,,,,,,,
AB3,,IOBS,IO_L7N_16,UNUSED,,16,,,,,,,,,,
AB4,,,VCCO_16,,,16,,,,,2.50,,,,,
AB5,,IOBS,IO_L11N_16,UNUSED,,16,,,,,,,,,,
AB6,,IOBM,IO_L11P_16,UNUSED,,16,,,,,,,,,,
AB7,,IOBM,IO_L14P_16,UNUSED,,16,,,,,,,,,,
AB8,,IOBS,IO_L17N_16,UNUSED,,16,,,,,,,,,,
AB9,,,GND,,,,,,,,,,,,,
AB10,,IOBS,IO_L15N_16,UNUSED,,16,,,,,,,,,,
AB11,,IOBM,IO_L15P_16,UNUSED,,16,,,,,,,,,,
AB12,,,VCCINT,,,,,,,,1.2,,,,,
AB13,,IOBM,IO_L20P_16,UNUSED,,16,,,,,,,,,,
AB14,,,VCCO_16,,,16,,,,,2.50,,,,,
AB15,,IOBM,IO_L21P_16,UNUSED,,16,,,,,,,,,,
AB16,,,TDO_0,,,,,,,,,,,,,
AB17,,,TDI_0,,,,,,,,,,,,,
AB18,,,VCCINT,,,,,,,,1.2,,,,,
AB19,,,GND,,,,,,,,,,,,,
AB20,,,VCCINT,,,,,,,,1.2,,,,,
AB21,,,GND,,,,,,,,,,,,,
AB22,,,VCCINT,,,,,,,,1.2,,,,,
AB23,,,GND,,,,,,,,,,,,,
AB24,,,VCCINT,,,,,,,,1.2,,,,,
AB25,,,GND,,,,,,,,,,,,,
AB26,,,VCCINT,,,,,,,,1.2,,,,,
AB27,FPGA_CON<224>,IOB,IO_L17P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB28,FPGA_CON<225>,IOB,IO_L17N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB29,,,GND,,,,,,,,,,,,,
AB30,FPGA_CON<221>,IOB,IO_L15N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB31,FPGA_CON<213>,IOB,IO_L11N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB32,,,VCCINT,,,,,,,,1.2,,,,,
AB33,FPGA_CON<206>,IOB,IO_L8P_CC_LC_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB34,,,VCCO_15,,,15,,,,,2.50,,,,,
AB35,FPGA_CON<205>,IOB,IO_L7N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AB36,FPGA_CON<188>,IOB,IO_L31P_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AB37,FPGA_CON<189>,IOB,IO_L31N_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AB38,FPGA_CON<190>,IOB,IO_L32P_13,INPUT,LVCMOS25,13,,,,NONE,,LOCATED,,NO,NONE,
AB39,,,GND,,,,,,,,,,,,,
AC1,,,VCCO_16,,,16,,,,,2.50,,,,,
AC2,,IOBS,IO_L13N_16,UNUSED,,16,,,,,,,,,,
AC3,,IOBM,IO_L13P_16,UNUSED,,16,,,,,,,,,,
AC4,,IOBS,IO_L16N_16,UNUSED,,16,,,,,,,,,,
AC5,,IOBM,IO_L16P_16,UNUSED,,16,,,,,,,,,,
AC6,,,GND,,,,,,,,,,,,,
AC7,,IOBS,IO_L23N_VRP_16,UNUSED,,16,,,,,,,,,,
AC8,,IOBM,IO_L17P_16,UNUSED,,16,,,,,,,,,,
AC9,,,VCCAUX,,,,,,,,2.5,,,,,
AC10,,IOBM,IO_L22P_16,UNUSED,,16,,,,,,,,,,
AC11,,,VCCO_16,,,16,,,,,2.50,,,,,
AC12,,LOWCAPIOB,IO_L25P_CC_LC_16,UNUSED,,16,,,,,,,,,,
AC13,,IOBS,IO_L20N_VREF_16,UNUSED,,16,,,,,,,,,,
AC14,,IOBS,IO_L21N_16,UNUSED,,16,,,,,,,,,,
